PrivateMessageID,UserID,ToUserID
7,28,34
8,30,34
9,22,30
11,9,30
15,9,30
20,26,30
21,30,34
22,34,30
23,30,34
25,26,30
26,34,30
27,30,34
29,26,24
31,11,24
33,7,24
35,5,7
36,5,7
37,5,7
39,23,35
41,23,24
42,23,24
43,23,35
46,23,35
48,23,35
51,23,35
54,23,35
62,2,30
65,23,30
66,23,34
68,23,30
69,23,30
71,40,30
75,52,28
76,23,24
78,11,59
79,11,59
80,12,59
81,12,24
82,12,40
84,82,59
85,33,40
86,33,68
87,33,68
88,33,59
89,33,24
90,33,40
91,33,30
93,54,68
94,37,24
95,50,51
96,53,51
97,40,33
99,41,34
100,30,33
109,34,30
110,23,24
111,23,30
112,23,24
114,23,68
115,23,68
117,23,68
118,68,34
119,30,34
120,30,68
121,34,30
122,162,35
126,195,35
130,169,35
132,146,40
143,1,59
152,18,200
159,306,304
164,329,345
165,337,345
