Id,MId,ExpencessId,Amount,Remarks
7,2,1,400.0,-
8,2,2,2200.0,-
9,2,3,0.0,
10,2,4,0.0,
11,2,5,5000.0,-
12,2,6,0.0,
13,3,2,1500.0,
14,3,5,1500.0,
15,4,1,500.0,
16,4,2,1000.0,
17,5,1,1500.0,
18,6,1,360.0,
19,6,2,2190.0,
20,6,3,4900.0,
21,6,5,1000.0,
22,7,1,360.0,
23,7,2,2200.0,
24,7,3,4900.0,
25,7,5,1000.0,
26,8,2,500.0,
27,8,3,1000.0,
28,8,4,500.0,
29,9,2,500.0,
30,9,3,1000.0,
31,9,4,500.0,
32,10,2,3300.0,
33,10,4,700.0,
34,10,5,1000.0,
35,11,1,500.0,
36,11,2,1500.0,
37,11,5,1000.0,
38,12,2,2700.0,
39,12,4,1000.0,
40,12,5,1300.0,
41,13,1,1000.0,
42,13,2,2000.0,
43,13,4,1000.0,
44,13,5,1000.0,
45,14,1,3000.0,
46,14,2,2000.0,
47,14,3,4000.0,
48,14,4,1000.0,
49,15,1,500.0,
50,15,3,2000.0,
51,15,4,500.0,
52,16,1,500.0,
53,16,2,500.0,
54,17,1,1000.0,
55,17,2,2000.0,
56,17,4,1000.0,
57,18,4,500.0,
58,18,5,1500.0,
59,19,2,3000.0,
60,19,4,2000.0,
61,19,5,1000.0,
62,19,6,6000.0,
63,20,1,1000.0,
64,20,4,1500.0,
65,20,6,2500.0,
66,21,3,5000.0,
67,22,1,1500.0,
68,22,3,1500.0,
69,22,4,500.0,
70,22,5,500.0,
71,23,1,800.0,
72,23,2,270.0,
73,23,4,500.0,
74,23,5,30.0,
75,24,1,5000.0,
76,25,1,5000.0,
77,26,3,3000.0,
78,26,4,2000.0,
79,27,2,2500.0,
80,27,3,2500.0,
81,27,4,2000.0,
82,28,2,500.0,
83,28,3,800.0,
84,28,4,800.0,
85,29,1,2000.0,
86,30,2,270.0,
87,30,5,4000.0,
88,31,1,9000.0,
89,32,1,2000.0,
90,33,3,1200.0,
91,33,4,800.0,
92,34,2,750.0,
93,34,5,3200.0,
94,35,1,2000.0,
95,35,2,100.0,
96,35,4,2.0,
97,36,1,1152.0,
98,36,2,540.0,
99,36,3,750.0,
100,36,4,885.0,
101,37,2,500.0,
102,37,4,500.0,
103,38,1,1000.0,
104,38,2,500.0,
105,38,3,500.0,
106,39,1,5000.0,
107,39,2,5000.0,
108,39,3,5000.0,
109,39,4,5000.0,
110,39,5,1000.0,
111,40,1,1000.0,
112,40,2,500.0,
113,41,1,3000.0,
114,41,2,4000.0,
115,41,3,500.0,
116,42,1,4000.0,
117,42,2,3000.0,
118,43,1,2000.0,
119,43,2,3000.0,
120,43,3,2000.0,
121,44,1,2340.0,
122,44,2,600.0,
123,44,3,365.0,
124,45,1,57341.0,
