Id,SysDate,SysTime,SessionId,CompId,FinYearId,HDate,Title
11,2013-08-18,11:04:48 AM,Sapl0004,1,1,2013-05-01,Maharashtra Day
13,2013-08-18,11:10:10 AM,Sapl0004,1,1,2013-04-11,Gudhi Padwa
15,2013-08-18,11:13:07 AM,Sapl0004,1,1,2013-09-19,Next Day of Anant Chaturthi
18,2013-08-18,11:18:59 AM,Sapl0004,1,1,2013-11-02,Diwali
19,2014-03-18,6:49:09 PM,Sapl0173,1,1,05-11-2013,Diwali
20,2013-08-18,11:19:54 AM,Sapl0004,1,1,2013-11-04,Diwali
22,2013-08-30,3:04:29 PM,Sapl0001,1,1,2013-08-15,Independence Day
24,2013-12-09,3:31:07 PM,Sapl0173,1,1,2013-11-01,Diwali
25,2014-03-31,2:40:17 PM,Sapl0173,1,1,2014-03-31,Gudhi Padwa
26,2014-06-10,3:33:39 PM,Sapl0205,1,2,2014-05-01,Maharashtra Day
27,2014-09-15,2:19:36 PM,Sapl0205,1,2,2014-08-15,Independance Day
28,2014-09-15,2:20:16 PM,Sapl0205,1,2,2014-08-29,Ganesh Chaturthi
29,2014-11-20,3:09:10 PM,sapl0205,1,2,2014-10-03,Dasara
30,2014-11-20,3:09:37 PM,sapl0205,1,2,2014-10-15,Election
31,2014-11-20,3:10:07 PM,sapl0205,1,2,2014-10-20,Dipawli
32,2014-11-20,3:10:29 PM,sapl0205,1,2,2014-10-21,Dipawli
33,2014-11-20,3:11:37 PM,sapl0205,1,2,2014-10-23,Laxmipujan
34,2014-11-20,3:12:01 PM,sapl0205,1,2,2014-10-24,Dipawli Padwa
35,2014-11-20,3:12:25 PM,sapl0205,1,2,2014-10-25,Bhaubij
36,2014-11-20,3:27:36 PM,sapl0205,1,2,2014-10-22,Dhanteras
37,2015-02-10,3:38:29 PM,sapl0061,1,2,2015-01-26,Republic Day
38,2015-06-09,12:03:17 PM,sapl0061,1,3,2015-04-04,Satarday
39,2015-06-09,12:03:37 PM,sapl0061,1,3,2015-04-18,Satarday
40,2015-06-11,12:22:38 PM,sapl0061,1,3,2015-05-01,Mharashtra
41,2015-06-11,12:22:57 PM,sapl0061,1,3,2015-05-02,Satarday
42,2015-06-11,12:23:10 PM,sapl0061,1,3,2015-05-16,Satarday
43,2015-08-03,6:18:09 PM,sapl0061,1,3,2015-06-06,Satarday
44,2015-08-03,6:18:33 PM,sapl0061,1,3,2015-06-20,Satarday
45,2015-08-08,2:03:01 PM,sapl0061,1,3,2015-07-04,satarday
46,2015-08-08,2:03:28 PM,sapl0061,1,3,2015-07-18,Satarday
47,2015-09-14,9:26:14 AM,sapl0061,1,3,2015-08-01,satarday
48,2015-09-14,9:27:03 AM,sapl0061,1,3,2015-08-15,Indepandance Day
49,2015-10-09,1:57:52 PM,sapl0061,1,3,2015-09-05,Satarday
50,2015-10-09,1:58:08 PM,sapl0061,1,3,2015-09-19,Satarday
51,2015-10-09,1:59:07 PM,sapl0061,1,3,2015-09-28,Anant Chaturthi Nextday
52,2015-10-31,12:06:17 PM,sapl0061,1,3,2015-10-03,Satarday
53,2015-10-31,12:06:35 PM,sapl0061,1,3,2015-10-17,Satarday
54,2015-10-31,12:06:50 PM,sapl0061,1,3,2015-10-22,Dasara
55,2015-11-25,2:47:03 PM,sapl0061,1,3,2015-11-09,Dipawli (Against 15 Aug Indepe.Day)
56,2015-11-25,2:48:34 PM,sapl0061,1,3,2015-11-10,Dipawli (Against 17.10.2015 3rd Satarday working))
57,2015-11-25,2:49:24 PM,sapl0061,1,3,2015-11-11,Dipawli Laxmipujan
58,2015-11-25,2:50:38 PM,sapl0061,1,3,2015-11-12,Dipawli Padwa
59,2015-11-25,2:51:21 PM,sapl0061,1,3,2015-11-13,Dipawli (Against 01.11.2015 Sunday working))
61,2016-02-08,2:07:13 PM,Sapl0061,1,3,2016-01-26,Republic Day
62,2016-12-29,11:57:37 AM,Sapl0061,1,4,2016-08-15,Indepandance Day
63,2017-06-09,9:09:04 AM,Sapl0061,1,5,2017-05-01,Maharashtra day
64,2017-09-07,3:02:46 PM,Sapl0061,1,5,2017-08-15,Independence day
65,2017-09-07,3:04:42 PM,Sapl0061,1,5,2017-08-25,Ganesh Chaturthi
66,2017-10-07,2:00:50 PM,Sapl0255,1,5,06-09-2017,Anant Chaturdashi
68,2017-11-07,9:29:11 AM,Sapl0061,1,5,2017-10-19,Laxmipujan
69,2017-11-07,9:29:45 AM,Sapl0061,1,5,2017-10-20,Dipawali (Padwa)
70,2017-11-07,9:31:36 AM,Sapl0061,1,5,2017-10-21,Bhaubeej
73,2018-02-15,6:31:42 PM,Sapl0061,1,5,2018-01-01,Republic Day
74,2018-02-15,6:32:00 PM,Sapl0061,1,5,2018-01-20,Republic Day
75,2018-02-15,6:32:10 PM,Sapl0061,1,5,2018-01-26,Republic Day
76,2018-02-15,6:32:27 PM,Sapl0061,1,5,2018-01-27,Republic Day
77,2018-06-14,3:52:54 PM,Sapl0061,1,6,2018-05-01,Maharashradin
78,2018-09-27,10:04:35 AM,Sapl0061,1,6,2018-08-15,Independence Day
79,2018-10-31,9:32:16 AM,Sapl0061,1,6,2018-09-13,Ganesh Chaturthi
80,2018-10-31,9:34:16 AM,Sapl0061,1,6,24-09-2018,Anant Chaturthi Next Day
81,2018-11-26,5:22:15 PM,Sapl0061,1,6,2018-10-18,Dashara
82,2018-12-08,5:55:03 PM,Sapl0061,1,6,2018-11-08,Dipawali Padawa
83,2018-12-08,5:55:24 PM,Sapl0061,1,6,2018-11-09,Bhaubeej
84,2019-02-23,6:46:05 PM,Sapl0061,1,6,2019-01-26,Republic Day
85,2019-04-24,6:43:51 PM,Sapl0061,1,7,2019-04-23,Election Day
86,2019-05-06,5:14:23 PM,Sapl0061,1,7,01-05-2019,Maharashtra Day
87,2019-05-06,5:14:03 PM,Sapl0061,1,7,2020-01-26,Republic Day
88,2019-05-06,5:15:15 PM,Sapl0061,1,7,2020-03-09,Gudi Padwa
89,2019-11-29,3:43:11 PM,Sapl0061,1,7,2019-08-15,Independance Day
90,2019-11-29,3:45:35 PM,Sapl0061,1,7,2019-09-02,Ganesh Chaturthi
91,2019-11-29,3:47:04 PM,Sapl0061,1,7,2019-09-13,Next Day Of Anant Chaturthi
92,2019-11-29,3:48:26 PM,Sapl0061,1,7,2019-10-08,Dassera
93,2019-11-29,4:08:39 PM,Sapl0061,1,7,28-10-2019,Bali Pratipada
94,2019-11-29,4:09:56 PM,Sapl0061,1,7,29-10-2019,Bhaubij (27.10.19 Sunday Laxmi Pujan)
95,2022-10-03,12:00:00 PM,Sapl0322,1,10,2022-09-30,Ganesh Chatarthi
